mission_id,mission_type,operate_type,x,y,speed(mps),time,
, , , 80.456, 126.781, 0.000, 1638290069.350, 
, , , 80.457, 126.783, 0.000, 1638290070.353, 
, , , 80.458, 126.783, 0.000, 1638290071.356, 
, , , 80.458, 126.784, 0.000, 1638290072.359, 
, , , 80.459, 126.783, 0.000, 1638290073.364, 
, , , 80.459, 126.783, 0.000, 1638290074.368, 
, , , 80.460, 126.783, 0.000, 1638290075.372, 
, , , 80.460, 126.783, 0.000, 1638290076.374, 
, , , 80.461, 126.782, 0.000, 1638290077.377, 
, , , 80.461, 126.782, 0.000, 1638290078.382, 
, , , 80.462, 126.782, 0.000, 1638290079.387, 
, , , 80.462, 126.781, 0.000, 1638290080.390, 
, , , 80.463, 126.780, 0.000, 1638290081.395, 
, , , 80.463, 126.780, 0.000, 1638290082.399, 
, , , 80.464, 126.779, 0.000, 1638290083.402, 
, , , 80.464, 126.779, 0.000, 1638290084.406, 
, , , 80.464, 126.778, 0.000, 1638290085.408, 
, , , 80.464, 126.778, 0.000, 1638290086.415, 
, , , 80.464, 126.777, 0.000, 1638290087.419, 
, , , 80.464, 126.777, 0.000, 1638290088.423, 
, , , 80.464, 126.776, 0.000, 1638290089.428, 
, , , 80.464, 126.776, 0.000, 1638290090.433, 
, , , 80.465, 126.775, 0.000, 1638290091.437, 
, , , 80.465, 126.775, 0.000, 1638290092.442, 
, , , 80.465, 126.774, 0.000, 1638290093.445, 
, , , 80.465, 126.774, 0.000, 1638290094.449, 
, , , 80.465, 126.774, 0.000, 1638290095.453, 
, , , 80.465, 126.773, 0.000, 1638290096.456, 
, , , 80.465, 126.773, 0.000, 1638290097.459, 
, , , 80.464, 126.772, 0.000, 1638290098.464, 
, , , 80.464, 126.772, 0.000, 1638290099.467, 
, , , 80.464, 126.772, 0.000, 1638290100.471, 
, , , 80.464, 126.772, 0.000, 1638290101.475, 
, , , 80.463, 126.771, 0.000, 1638290102.478, 
, , , 80.463, 126.771, 0.000, 1638290103.481, 
